Datetime,Central Interior,Coastal,Georgia Strait,Lower Fraser Valley,Northeast,Southern Interior
2022-01-07 21:00:00,15.19333,5.5,3.343435,2.489952,3.8759585,6.488666
2022-01-07 22:00:00,16.31613,5.0,7.0,2.06,3.689437,5.574777
2022-01-07 23:00:00,14.399194999999999,5.5,9.0,2.533833,2.9485555,6.474697
2022-01-08 00:00:00,15.1949985,5.0,8.820515,2.8987,2.7428335,6.264873
2022-01-08 01:00:00,12.3902895,4.0,4.809152,3.596111,2.6752025,3.87654
2022-01-08 02:00:00,13.107994000000001,3.0,8.8321115,3.333194,2.749402,4.70443
2022-01-08 03:00:00,8.5472645,3.5,13.0,3.560333,2.8889579999999997,3.73075
2022-01-08 04:00:00,9.798546,4.0,7.5,3.405833,4.5365965,3.267347
2022-01-08 05:00:00,6.2099995,6.5,3.1575085,3.83,4.1413139999999995,3.530116
2022-01-08 06:00:00,5.8949705,4.0,2.4133085000000003,3.868417,4.083412,3.407624
2022-01-08 07:00:00,5.386222,1.0,4.5,3.71,3.9822355,4.461666
2022-01-08 08:00:00,5.8139595,1.0,6.5,3.31458,3.847302,4.834639
2022-01-08 09:00:00,6.7861385,2.5,4.1990765,3.431891,2.7730740000000003,5.545398
2022-01-08 10:00:00,7.746012,1.6941097,4.3844135,3.41,2.2005559999999997,6.827179
2022-01-08 11:00:00,6.6239360000000005,3.0,3.2480705,3.62,2.342689,6.073069
2022-01-08 12:00:00,5.859659000000001,2.5,6.0,4.054333,2.4180525,5.175805
2022-01-08 13:00:00,5.290582,2.215571,5.5,3.876667,2.264038,4.949396
2022-01-08 14:00:00,5.6569855,2.5,2.5,4.07,2.4811155,3.58336
2022-01-08 15:00:00,7.261359499999999,3.0,1.4566605,4.656278,2.7454675,4.029519
2022-01-08 16:00:00,8.3809925,3.0,2.8830825,4.491055,2.6403540000000003,7.265027
2022-01-08 17:00:00,9.244832500000001,2.5,5.0,5.55,3.5535484999999998,8.594602
2022-01-08 18:00:00,9.296215,3.0,6.5,5.301333,4.095014,7.177221
2022-01-08 19:00:00,7.912889,4.0,7.2564095,5.465305,4.085236,8.196443
2022-01-08 20:00:00,6.43327,3.5,10.7100115,6.934195,3.8205905,9.434546
2022-01-08 21:00:00,7.005319,3.7681975000000003,9.5,6.18675,3.7243605,7.154471
2022-01-08 22:00:00,8.291165,6.366541,6.0,6.496444,3.6480345,7.989193
2022-01-08 23:00:00,5.3927499999999995,4.5,5.4035835,6.15,3.754083,7.858375
2022-01-09 00:00:00,5.892303500000001,4.0,4.7887825,4.908861,3.8802499999999998,6.523859
2022-01-09 01:00:00,7.140200999999999,2.75803355,5.832264,3.546699,3.9242850000000002,6.313623
2022-01-09 02:00:00,5.44525,0.3142769,5.5,2.692403,3.4878055000000003,9.010167
2022-01-09 03:00:00,10.1964025,1.0217915,6.9764409999999994,2.270306,3.3663205,7.867262
2022-01-09 04:00:00,7.3583750000000006,3.1165950000000002,6.038579,2.4625,3.511012,6.931651
2022-01-09 05:00:00,7.853194,3.0,4.498502,1.755639,3.6303010000000002,7.115262
2022-01-09 06:00:00,6.051166,4.5,5.398113,1.933036,3.899208,6.897151
2022-01-09 07:00:00,6.1851935000000005,3.5,4.5966505,1.602444,4.1434025000000005,6.456624
2022-01-09 08:00:00,3.7434425,4.5,5.9842315,1.790806,4.6848469999999995,7.980156
2022-01-09 09:00:00,5.078183,2.5,4.3052275,2.313987,4.2210625,8.868894
